feature,anova_score,mi_score,rf_score,ensemble_score,importance
dfa,1.0,1.0,0.7903780086105506,0.9161512034442203,100.0
energy_ratio,0.6977138713700842,0.759063910944029,1.0,0.837033334694234,91.36410360510939
psd_gamma_low,0.5866335109062648,0.9747812574016278,0.7199580981726426,0.7564076697614248,82.5636278070423
spectral_entropy,0.4081174196329862,0.7793772474166734,0.5464924129890405,0.5748453653105141,62.74568686363282
hjorth_mobility,0.4655592475598304,0.618192365860428,0.39373563780729304,0.4826197391489948,52.67904875686593
hjorth_complexity,0.4518586174886983,0.27151221515959284,0.505807660191479,0.41933431387107895,45.771299791411565
signal_coherence,0.24129698401116076,0.2287044549647381,0.5664759199131308,0.367590799658022,40.12337682645447
alpha_peak_freq,0.1321004553777078,0.5449708133262563,0.39247173218994036,0.3601100734871654,39.306838449084744
dyn_conn_variance,0.12417367114262844,0.16426693195372613,0.6295867668445577,0.33836688766672945,36.93351996860973
phase_locking_value,0.019686873707613912,0.310007570594942,0.5009604422495945,0.29929251019060454,32.66846226533685
kurtosis,0.07726651626747423,0.3685160816830703,0.3846574762485881,0.2875977698845986,31.391954603496732
skewness,0.19311465019787824,0.0,0.5273725461149635,0.2688834135053489,29.349239786456256
ind_alpha_power,0.0765363367596337,0.4394422276807981,0.2550183445331973,0.2568009071454085,28.030406572624642
psd_alpha,0.03304070833501098,0.4770230337242635,0.23599313370199426,0.24741637609858003,27.00606353715759
mean,0.015638443651153366,0.0,0.5878134129095749,0.239816898259176,26.17656314346338
psd_theta,0.022544198629639217,0.352984204867517,0.3092061135928305,0.23634096648627906,25.797157237557307
ratio_theta_alpha,0.0949398098282318,0.12001137056694235,0.37866149824886564,0.2159499534180985,23.571431506747626
zcr,0.150827816335991,0.0,0.4012709659864576,0.20575673129538036,22.458817990070763
lempel_ziv,0.1765575821565519,0.0,0.3772693911265024,0.20387503109756652,22.253426108169645
ptp,0.09117129569121209,0.0,0.4153222992930259,0.19348030842457398,21.118818345399248
microstate_var,0.09239754955033627,0.0,0.4084452986813148,0.1910973843376268,20.858716729204374
psd_delta,0.004965923546243817,0.0,0.4351422759874782,0.17554668745886443,19.16132258506088
median,0.0007870303392348676,0.05092672118190781,0.39125801179561975,0.17201733017459073,18.77608516235104
ratio_beta_alpha,0.06239729224131703,0.0,0.3552433872780082,0.1608165425835984,17.553493569513133
wavelet_complexity,0.10995743675109418,0.0,0.3149674391250466,0.1589742066753469,17.35239838988281
psd_gamma_high,0.05871378264554062,0.0,0.3525782368433164,0.15864542953098876,17.316511612337564
total_power,0.02368078810183039,0.18425666762834816,0.23881483600267697,0.15790717112012437,17.235929017664443
spectral_edge,0.030675696093435158,0.280108263070836,0.15727807935149632,0.1561464194898799,17.043738948642535
perm_entropy,0.05308743118066646,0.0,0.3442450438193533,0.15362424688194126,16.768438037782335
higuchi_fd,0.03696864813152993,0.0,0.3378056942810985,0.1462128721518984,15.959469528852782
rel_alpha,0.06978224348900984,0.0,0.3075968847853366,0.1439734269608376,15.715028962422075
psd_beta,0.05183216998399809,0.0,0.3154200924679942,0.1417176879823971,15.46880989181886
energy,0.03683184822832018,0.0,0.26366217171763895,0.11651442315555163,12.717815871170833
sample_entropy,0.02236352479248511,0.0,0.26659977634208637,0.11334896797458009,12.372299195640506
hjorth_activity,0.03581425417565383,0.0,0.24015637625893166,0.10680682675626882,11.658209513313349
std,0.0291132920918637,0.0,0.23022984366337307,0.10082592509290834,11.005380412519113
variance,0.03581425417565383,0.0,0.18738077353586616,0.08569658566704262,9.353978398420589
