feature,rf_importance,importance
psd_gamma_low,0.06214003708045887,100.0
mean,0.04541919221103883,73.09167220520015
psd_beta,0.04140549146899966,66.63255030792445
energy_ratio,0.04005880191811539,64.46536532678164
skewness,0.038894099058577734,62.591045782959036
median,0.03870749531814267,62.29075027429455
signal_coherence,0.03268525094404071,52.599342516838014
spectral_entropy,0.03181802008477269,51.20373527227662
higuchi_fd,0.031390782004556465,50.51619451709001
zcr,0.02923747427778527,47.050944369293845
psd_gamma_high,0.028706325215114136,46.196182950366136
microstate_var,0.028065047610382934,45.16419514530436
dyn_conn_variance,0.026585196507452915,42.78271748217727
spectral_edge,0.02615067968028654,42.083463269303586
kurtosis,0.025713262977740056,41.379542378525684
phase_locking_value,0.02559257542779319,41.18532371433243
psd_delta,0.02507027527898843,40.344802573142104
ptp,0.02501530368209979,40.25633851764522
ratio_beta_alpha,0.024842898591776783,39.97889244837466
lempel_ziv,0.024806081346624147,39.91964361801917
rel_alpha,0.023875384206276253,38.42190209085718
ind_alpha_power,0.02386671172231984,38.40794573620425
perm_entropy,0.023068073934278132,37.122723155780555
psd_theta,0.022987625836531498,36.993260571710216
hjorth_mobility,0.02282126850757351,36.72554697388505
wavelet_complexity,0.02277559091671466,36.65203946889321
ratio_theta_alpha,0.02224674155618059,35.80097888801632
dfa,0.021303783868951286,34.283506849806294
alpha_peak_freq,0.020281821618829066,32.638895262595646
total_power,0.019754754631353403,31.790702998414634
energy,0.018980194678550288,30.54422811813702
variance,0.018909477784119097,30.430425652361812
hjorth_complexity,0.018321013642567816,29.48342888634872
psd_alpha,0.018161513902818206,29.22675099035215
std,0.017567876245211743,28.271428648272078
hjorth_activity,0.01733581638373845,27.897982039006592
sample_entropy,0.015438059879238878,24.843982405819443
