feature,f_score,p_value,selected
energy_ratio,25.52485135490871,4.1158286380020095e-06,True
mean,16.341744868095635,0.00014855408454000392,True
dyn_conn_variance,13.400197283772707,0.0005218183249893633,True
skewness,10.530389066911388,0.0018946238130444644,True
median,5.230435787060394,0.025620859811240057,False
lempel_ziv,2.283880747852451,0.13580484242592897,False
spectral_edge,2.0450180820551176,0.15772543835155556,False
higuchi_fd,1.1203073232848872,0.29395871388698763,False
zcr,1.1195671710660071,0.29411682951480195,False
total_power,1.0941652347092787,0.29961120707598293,False
psd_theta,1.0939907549127454,0.29964940830471004,False
dfa,1.0595763370629876,0.30731088040012017,False
psd_alpha,0.9827170399109385,0.3253821163675972,False
psd_gamma_high,0.8928164317904369,0.34838309308639215,False
rel_alpha,0.87879705815093,0.3521688660638077,False
perm_entropy,0.6108270300351082,0.437450985645615,False
ratio_beta_alpha,0.5625548423192206,0.4560695382749296,False
psd_gamma_low,0.45372927296758775,0.5030727378384805,False
psd_beta,0.4191211255821827,0.519765908580168,False
wavelet_complexity,0.3881413749486426,0.535563043864606,False
phase_locking_value,0.3678279160632366,0.5464050073631883,True
kurtosis,0.36043261106925173,0.550454342311637,False
ptp,0.35805866753271254,0.5517662271207517,False
spectral_entropy,0.34573293273006594,0.558674347556216,False
psd_delta,0.3216864978517414,0.5726437834597309,False
hjorth_mobility,0.3210846787574717,0.5730021944625936,False
signal_coherence,0.30479508580946724,0.5828765360916346,False
sample_entropy,0.18640651011836715,0.6674221687292949,False
microstate_var,0.08276188430647123,0.7745483375996499,False
std,0.0820094218965462,0.7755473085776126,False
hjorth_complexity,0.02959847275458156,0.8639647973059525,False
variance,0.013205851349861148,0.9088825003237858,False
hjorth_activity,0.013205851349861148,0.9088825003237858,False
energy,0.003615776157748269,0.9522444503259241,False
ind_alpha_power,0.0028323693017714945,0.9577277259236817,False
ratio_theta_alpha,0.0014497184474193785,0.9697500844043359,False
alpha_peak_freq,0.0,1.0,False
